cell_id,recipe_id,model,calibration,weighting,downsampling,cell_name,training_config,pipeline_config
39,R1_sig,LinSVM_L1_cal,beta,log,5.0,LinSVM_L1_cal_beta_log_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_log_ds5/pipeline_hpc.yaml
40,R1_sig,LinSVM_L1_cal,beta,sqrt,1.0,LinSVM_L1_cal_beta_sqrt_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds1/pipeline_hpc.yaml
41,R1_sig,LinSVM_L1_cal,beta,sqrt,2.0,LinSVM_L1_cal_beta_sqrt_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds2/pipeline_hpc.yaml
42,R1_sig,LinSVM_L1_cal,beta,sqrt,5.0,LinSVM_L1_cal_beta_sqrt_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_sqrt_ds5/pipeline_hpc.yaml
43,R1_sig,LinSVM_L1_cal,beta,none,1.0,LinSVM_L1_cal_beta_none_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds1/pipeline_hpc.yaml
44,R1_sig,LinSVM_L1_cal,beta,none,2.0,LinSVM_L1_cal_beta_none_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds2/pipeline_hpc.yaml
45,R1_sig,LinSVM_L1_cal,beta,none,5.0,LinSVM_L1_cal_beta_none_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_beta_none_ds5/pipeline_hpc.yaml
46,R1_sig,LinSVM_L1_cal,isotonic,log,1.0,LinSVM_L1_cal_isotonic_log_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds1/pipeline_hpc.yaml
47,R1_sig,LinSVM_L1_cal,isotonic,log,2.0,LinSVM_L1_cal_isotonic_log_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds2/pipeline_hpc.yaml
48,R1_sig,LinSVM_L1_cal,isotonic,log,5.0,LinSVM_L1_cal_isotonic_log_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_log_ds5/pipeline_hpc.yaml
49,R1_sig,LinSVM_L1_cal,isotonic,sqrt,1.0,LinSVM_L1_cal_isotonic_sqrt_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds1/pipeline_hpc.yaml
50,R1_sig,LinSVM_L1_cal,isotonic,sqrt,2.0,LinSVM_L1_cal_isotonic_sqrt_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds2/pipeline_hpc.yaml
51,R1_sig,LinSVM_L1_cal,isotonic,sqrt,5.0,LinSVM_L1_cal_isotonic_sqrt_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_sqrt_ds5/pipeline_hpc.yaml
52,R1_sig,LinSVM_L1_cal,isotonic,none,1.0,LinSVM_L1_cal_isotonic_none_ds1,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds1/pipeline_hpc.yaml
53,R1_sig,LinSVM_L1_cal,isotonic,none,2.0,LinSVM_L1_cal_isotonic_none_ds2,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds2/pipeline_hpc.yaml
54,R1_sig,LinSVM_L1_cal,isotonic,none,5.0,LinSVM_L1_cal_isotonic_none_ds5,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/R1_sig/LinSVM_L1_cal_isotonic_none_ds5/pipeline_hpc.yaml
55,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,1.0,LinSVM_cal_logistic_intercept_log_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds1/pipeline_hpc.yaml
56,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,2.0,LinSVM_cal_logistic_intercept_log_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds2/pipeline_hpc.yaml
57,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,log,5.0,LinSVM_cal_logistic_intercept_log_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_log_ds5/pipeline_hpc.yaml
58,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,1.0,LinSVM_cal_logistic_intercept_sqrt_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds1/pipeline_hpc.yaml
59,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,2.0,LinSVM_cal_logistic_intercept_sqrt_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds2/pipeline_hpc.yaml
60,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,sqrt,5.0,LinSVM_cal_logistic_intercept_sqrt_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_sqrt_ds5/pipeline_hpc.yaml
61,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,1.0,LinSVM_cal_logistic_intercept_none_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds1/pipeline_hpc.yaml
62,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,2.0,LinSVM_cal_logistic_intercept_none_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds2/pipeline_hpc.yaml
63,MS_rfe_LinSVM_cal,LinSVM_cal,logistic_intercept,none,5.0,LinSVM_cal_logistic_intercept_none_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_logistic_intercept_none_ds5/pipeline_hpc.yaml
64,MS_rfe_LinSVM_cal,LinSVM_cal,beta,log,1.0,LinSVM_cal_beta_log_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds1/pipeline_hpc.yaml
65,MS_rfe_LinSVM_cal,LinSVM_cal,beta,log,2.0,LinSVM_cal_beta_log_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds2/pipeline_hpc.yaml
66,MS_rfe_LinSVM_cal,LinSVM_cal,beta,log,5.0,LinSVM_cal_beta_log_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_log_ds5/pipeline_hpc.yaml
67,MS_rfe_LinSVM_cal,LinSVM_cal,beta,sqrt,1.0,LinSVM_cal_beta_sqrt_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds1/pipeline_hpc.yaml
68,MS_rfe_LinSVM_cal,LinSVM_cal,beta,sqrt,2.0,LinSVM_cal_beta_sqrt_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds2/pipeline_hpc.yaml
69,MS_rfe_LinSVM_cal,LinSVM_cal,beta,sqrt,5.0,LinSVM_cal_beta_sqrt_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_sqrt_ds5/pipeline_hpc.yaml
70,MS_rfe_LinSVM_cal,LinSVM_cal,beta,none,1.0,LinSVM_cal_beta_none_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds1/pipeline_hpc.yaml
71,MS_rfe_LinSVM_cal,LinSVM_cal,beta,none,2.0,LinSVM_cal_beta_none_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds2/pipeline_hpc.yaml
72,MS_rfe_LinSVM_cal,LinSVM_cal,beta,none,5.0,LinSVM_cal_beta_none_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_beta_none_ds5/pipeline_hpc.yaml
73,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,log,1.0,LinSVM_cal_isotonic_log_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds1/pipeline_hpc.yaml
74,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,log,2.0,LinSVM_cal_isotonic_log_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds2/pipeline_hpc.yaml
75,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,log,5.0,LinSVM_cal_isotonic_log_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_log_ds5/pipeline_hpc.yaml
76,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,sqrt,1.0,LinSVM_cal_isotonic_sqrt_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds1/pipeline_hpc.yaml
77,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,sqrt,2.0,LinSVM_cal_isotonic_sqrt_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds2/pipeline_hpc.yaml
78,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,sqrt,5.0,LinSVM_cal_isotonic_sqrt_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_sqrt_ds5/pipeline_hpc.yaml
79,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,none,1.0,LinSVM_cal_isotonic_none_ds1,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds1/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds1/pipeline_hpc.yaml
80,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,none,2.0,LinSVM_cal_isotonic_none_ds2,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds2/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds2/pipeline_hpc.yaml
81,MS_rfe_LinSVM_cal,LinSVM_cal,isotonic,none,5.0,LinSVM_cal_isotonic_none_ds5,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds5/training_config.yaml,operations/cellml/configs/recipes_smoke/MS_rfe_LinSVM_cal/LinSVM_cal_isotonic_none_ds5/pipeline_hpc.yaml
